"JOBBees — Feature Estimation  ·  Edit ""Call"" column → totals update automatically",,,,,,
ID,Component,Section,Feature / Screen,Call,Hours,Architect Notes
1,1. Mobile App,1.1 Onboarding & Auth,Splash screen,IN,1,"App load screen, branding only."
2,1. Mobile App,1.1 Onboarding & Auth,Email signup,IN,4,"First name, last name, email, mobile, location, user type. Single form with validation."
3,1. Mobile App,1.1 Onboarding & Auth,Google signup,IN,3,Flutter google_sign_in package.
4,1. Mobile App,1.1 Onboarding & Auth,Apple signup,IN,3,iOS App Store requirement — mandatory for any app offering social login.
5,1. Mobile App,1.1 Onboarding & Auth,Email + password login,IN,2,Standard credential login.
6,1. Mobile App,1.1 Onboarding & Auth,Google login,IN,1,Reuses signup integration.
7,1. Mobile App,1.1 Onboarding & Auth,Apple login,IN,1,Reuses signup integration.
8,1. Mobile App,1.1 Onboarding & Auth,Magic link login,DROP,0,Removed per direction.
9,1. Mobile App,1.1 Onboarding & Auth,Biometric login (Face ID / Touch ID),IN,2,local_auth package. Local device auth only.
10,1. Mobile App,1.1 Onboarding & Auth,Forgot password / reset flow,IN,3,Email reset token flow.
11,1. Mobile App,1.1 Onboarding & Auth,OTP entry screen,IN,2,Reusable 6-digit input component for phone OTP.
12,1. Mobile App,1.1 Onboarding & Auth,Email verification (posters),IN,2,Click-through link from email. Required before posting tasks.
13,1. Mobile App,1.1 Onboarding & Auth,Phone OTP verification (taskers only),IN,3,Tasker-gated. Verified phone = Trust Tier 1.
14,1. Mobile App,1.1 Onboarding & Auth,Role selection (Poster / Tasker) at signup,IN,2,Determines which onboarding path is shown.
15,1. Mobile App,1.1 Onboarding & Auth,Poster → Tasker upgrade flow (one-way),DROP,0,Removed per direction.
16,1. Mobile App,1.1 Onboarding & Auth,"Permissions priming (location, camera, notifications)",IN,3,iOS/Android permission request with clear rationale. Critical for feature adoption.
17,1. Mobile App,1.1 Onboarding & Auth,Welcome tour / coach marks,DROP,0,Folded into onboarding form.
18,1. Mobile App,1.1 Onboarding & Auth,Account suspended/banned screen,IN,1,Clear message explaining suspension + support contact.
19,1. Mobile App,1.1 Onboarding & Auth,Force logout (session expired),IN,1,Graceful redirect to login when JWT expires.
20,1. Mobile App,1.1 Onboarding & Auth,Account deletion confirmation screen,IN,2,P0-08. Confirms user intent before triggering anonymisation pipeline.
21,1. Mobile App,1.2 KYC / Identity,ID document upload (licence/passport),POST,4,Camera-only capture (gallery blocked). Uploaded to Azure Blob for manual admin review — no Onfido automated check.
22,1. Mobile App,1.2 KYC / Identity,Selfie / liveness check,POST,3,Standard camera selfie — no Onfido SDK / liveness detection. Admin manually cross-checks selfie vs uploaded ID.
23,1. Mobile App,1.2 KYC / Identity,Onfido KYC SDK flow,DROP,0,Skipped — going full manual review. Onfido SDK integration not required.
24,1. Mobile App,1.2 KYC / Identity,ABN entry + ABR lookup UI,IN,3,P0-05. Free ABR government API validates ABN + returns GST registration status.
25,1. Mobile App,1.2 KYC / Identity,KYC status screen (pending/approved/rejected),IN,2,Shows current verification state. Triggers re-submission if rejected.
26,1. Mobile App,1.2 KYC / Identity,Manual review prompt,IN,1,"Shown when admin manual review is pending — sets expectations, prevents repeated submission attempts."
27,1. Mobile App,1.2 KYC / Identity,KYC re-submission flow,IN,2,Guides rejected tasker through re-upload with reason shown.
28,1. Mobile App,1.3 Profile — Poster,"Profile setup (name, photo, default address)",IN,3,Basic poster identity shown to taskers when reviewing bids.
29,1. Mobile App,1.3 Profile — Poster,Profile edit,IN,2,Standard edit form for poster profile fields.
30,1. Mobile App,1.3 Profile — Poster,Payment methods management (add/remove cards),IN,2,Stripe Elements drop-in UI. We store only PaymentMethod ID — no card data logic needed.
31,1. Mobile App,1.3 Profile — Poster,Default card selection,IN,1,Store default_payment_method_id in our users table and pass it to PaymentIntent.
32,1. Mobile App,1.3 Profile — Poster,Address book (saved addresses),THIN,2,Simplified — save and reuse common task locations.
