GAP REGISTER — items missing or unaccounted-for in the booklet,,,,,,,,,,
Fill the three right-hand columns (shaded). Dropdown in 'Dev Decision'.,,,,,,,,,,
#,Est. ID(s),Item / Feature,Component,Est. Call,Booklet status (architect finding),Severity,Architect recommendation,DEV DECISION ▼,Destination (sprint / V2 / N/A),Dev note / justification
1,SEO-01..19,Next.js SEO public site (whole component),5. Next.js SEO,IN×18,No sprint builds it. Only 'How it works' page on public web (S11) + one mention in S11 intro. Not in post-MVP appendix.,MEDIUM,"Confirm deferral & add to appendix, OR schedule. No organic acquisition channel without it; programmatic location×category pages are a primary low-CAC growth engine.",,,
2,FW-01..18,Flutter Web app (whole component),4. Flutter Web,IN×18,Mobile-only launch (TestFlight + Play S11). No web build in any sprint. Not in post-MVP appendix.,LOW-MED,Confirm deferral & add to appendix. App-only soft launch is defensible; note cookie-consent/a11y (FW-13/14) still legally required if any web surface exists.,,,
3,AI-02,LLM observability (Langfuse / Helicone),6. AI Infra,IN,Not mentioned in any sprint. No trace/cost visibility on AI calls.,HIGH,Reinstate. Without it there is no way to see prompt behaviour or cost in prod for an AI-dependent product.,,,
4,AI-03,Prompt versioning + A/B eval harness,6. AI Infra,IN,Not mentioned. No eval gates on prompt changes.,HIGH,Reinstate. Test Plan AI-eval gates (locked S3->S9) CANNOT run without this; blocks safe AI iteration.,,,
5,AI-12,AI cost quota enforcement,6. AI Infra,IN,Not mentioned. No per-user / org cost ceiling.,HIGH,Reinstate. Protects against cost runaway; NFR-C01 cost test depends on it.,,,
6,B-48,Behavioural fraud scoring,2.10 Trust&Safety,IN★,Absent. Fraud posture = EXIF tamper-check + Azure Content Safety only. No device/velocity/graph signals.,HIGH,Reinstate or accept risk in writing. Was critical (IN★). Marketplace collusion / multi-account fraud undetected.,,,
7,AP-56,Two-Person Approval Rule (maker-checker),3.14 Admin,IN,Absent — follows from single-admin-role decision. No four-eyes on refunds/fees.,MEDIUM,Confirm acceptable. Financial-controls gap: high-value refunds and fee changes have no second approver.,,,
8,AP-52,Ad-hoc Report Builder (NL queries + export),3.11 Admin,IN★,Absent. No natural-language report builder.,LOW,Defer acceptable. Visual reports suffice early; was IN★ but non-critical for soft launch.,,,
9,217,Product analytics instrumentation (PostHog/Mixpanel),1.18 Cross-cut,IN,Only Azure App Insights (ops monitoring) mentioned. No product-event/funnel analytics.,MEDIUM,Instrument day-one. Deferred funnel/LTV/churn dashboards (appendix) will have NO historical data without events flowing now.,,,
10,AI-07,Auto-SEO content generation per task,6. AI Infra,IN,Not mentioned (ties to missing SEO layer).,LOW,Defer with SEO site. Only relevant once public pages exist.,,,
11,AI-05,Feature store (matching + pricing ML),6. AI Infra,THIN,Not mentioned. Matching works without a formal feature store.,LOW,Defer acceptable. Embeddings + ranker function without it at MVP scale.,,,
12,194,RAG support agent (chat),1.16 Support,IN,Support = email at MVP (stated in appendix). RAG agent deferred.,LOW,Already deferred in appendix — confirm only. Acceptable substitution.,,,
