,,
,JOBBees — Scope Reconciliation Workbook,
,Booklet (13-sprint MVP plan)  vs  Feature Estimation v1.2  vs  Test Plan v2.0,
,,
,Purpose,"Re-sync the three planning artifacts. Every item the cross-check found missing or changed is listed with a column for the developer to declare its true status (Deferred / Dropped / Covered-elsewhere / Will-add) and a destination. Once filled, the estimate, booklet and test plan agree."
,,
,How to use,"Work the GAP REGISTER tab top to bottom. For each row set 'Dev Decision' from the dropdown, name the Destination (sprint, V2, or N/A), and add a note. Severity and the architect's recommendation are pre-filled."
,Tabs,GAP REGISTER — the fill-in table (28 items).   COVERAGE MAP — all 8 estimate components vs booklet status.   CHANGED ITEMS — features built differently.   TEST IMPACT — what each gap does to the test suite.   SIGN-OFF — founder + dev acceptance block.
,Decision values,"DEFERRED = agreed post-MVP, must appear in booklet appendix + be removed from MVP estimate.   DROPPED = cut permanently, remove from estimate.   COVERED = already built elsewhere, point to where.   WILL-ADD = reinstating into a named sprint."
,Severity key,HIGH = launch/quality/compliance risk at any scale.  MEDIUM = matters at self-serve scale or for growth.  LOW = convenience / polish.
,Source of truth,"Estimation v1.2 (394 in-scope rows) + JOBBees MVP Sprint Detail Booklet (S0 + 12 build sprints, 1 Jun–4 Dec 2026) + Master Test Plan v2.0 (481 TCs)."
,,
,Bottom line,"The booklet fully delivers the transactional core. Two funded components (Flutter Web 18 items, Next.js SEO 18 items) and the AI-operations layer (observability, eval harness, cost quotas) have no sprint and are not in the post-MVP appendix. Plus behavioural fraud scoring and two-person financial controls are absent. None block a one-suburb soft launch; all matter at self-serve scale."
