COVERAGE MAP — all estimate sections vs booklet,,,,
Estimate component / section,In-scope items,Booklet sprint(s),Coverage,Notes
1.1 Onboarding & Auth,17,S1 (BE) + S2 (mobile),FULL,Email/Google/Apple + tasker OTP. 4 roles only.
1.2 KYC / Identity,4,S2,CHANGED,Stripe Connect handles all identity; no manual ID queue.
1.3 Profile — Poster,7,S2,FULL,
1.4 Profile — Tasker,14,S2,FULL,Portfolio/reviews populate S4+S7.
1.5 Task Posting,22,S3,FULL,Text+photo+voice+camera+guest mode.
1.6 Task Discovery,11,S4,FULL,Ranked feed + map + filters.
1.7 Bidding,10,S4,FULL,Incl. licence guard + Builder rule + public Q&A.
1.8 Job Execution,7,S6,FULL,"Check-in, completion proof, live location."
1.9 Messaging,11,S5,CHANGED,Single-node Socket.IO; regex moderation not LLM.
1.10 Payments,17,S5,FULL,Mode1+Mode2; Apple/Google Pay.
1.11 Cancellation,8,S6,FULL,Fee matrix.
1.12 Reviews,7,S7,PARTIAL,Blind reveal yes; AI authenticity scoring absent.
1.13 Disputes,10,S7,FULL,Tier-0 Claude Sonnet mediator + admin brief.
1.14 Notifications,9,S8,FULL,"Push/email/SMS, Spam Act, fallback."
1.15 Settings,9,S2,FULL,"DSR, deletion, prefs."
1.16 Support,8,S? / email,PARTIAL,FAQ ok; RAG agent -> email at MVP (deferred).
1.17 Static / Legal,8,S11,FULL,Lawyer review S11.
1.18 Cross-cutting,18,S10-S11,PARTIAL,"Polish ok; analytics(217), some items unenumerated."
1.19 Security & Trust Extras,4,S1-S2,PARTIAL,Consent/lockout ok; device fingerprint(M-229) unclear.
2.1 Auth & Users (BE),16,S1,FULL,"NestJS, JWT rotation, RBAC, audit."
2.2 Tasks & Extraction (BE),4,S3,FULL,Gemini Flash JSON + ReAct + vision.
2.3 Matching Engine,7,S4,FULL,pgvector kNN + ranker + auto-invite.
2.4 Payments (BE),14,S5,PARTIAL,Core ok; confirm explicit DLQ + replay (B-19/AP-44).
2.5 Messaging (BE),6,S5,CHANGED,Single-node; regex detection.
2.6 Disputes (BE),6,S7,FULL,State machine + mediator + brief.
2.7 Notifications (BE),5,S8,FULL,
2.8 Reviews (BE),5,S7,PARTIAL,Blind/reveal ok; authenticity scoring(B-41) absent.
2.9 File Storage & Media,5,S3->S10,CHANGED,Local FS at MVP -> Azure Blob S10 (migration risk).
2.10 Trust & Safety,6,S1/S5/S8,PARTIAL,Rate-limit/audit/retention ok; FRAUD SCORING(B-48) absent; moderation regex.
3.1 User Management (Admin),10,S9,FULL,Single admin role.
3.2 Verification Queue,5,S4->S9,CHANGED,Trade-licence review (not identity).
3.3 Job & Booking Mgmt,9,S9,FULL,"Force-cancel, manual capture/void, overrides."
3.4 Financial & Payout,11,S9,FULL,"Payout tracking, refund, held-funds."
3.5 Disputes (Admin),6,S9,FULL,Mediation interface + evidence viewer.
3.6 Review Moderation,3,S9,FULL,Manual removal.
3.7 Content & Config,7,S9,FULL,"Category/area CRUD, fee/tax config, flags."
3.8 Analytics Dashboard,5,S9,PARTIAL,KPI overview; deep funnel/cohort deferred.
3.9 System / DevOps (Admin),5,S9-S10,PARTIAL,Webhook log yes; BullMQ monitor(AP-45) unclear.
3.11 Reporting & Analytics,2,S9,PARTIAL,Daily reconciliation; NL builder(AP-52) absent.
3.12 Super User Dashboard,1,S9,CHANGED,Simpler KPI panel vs 24-tile.
3.14 Two-Person Approval,1,—,MISSING,No maker-checker (single admin role).
4. Flutter Web,18,—,MISSING,No web build in any sprint.
5. Next.js SEO,18,—,MISSING,No public SEO site in any sprint.
6.1 LLM Routing & Observability,5,S3/S9,PARTIAL,Router/provider-config ok; OBSERVABILITY+EVAL+QUOTA absent.
6.2 ML Models & Feature Store,2,—,MISSING,Feature store + auto-SEO absent.
7.1 CI/CD & Environments,7,S0/S10,FULL,"GitHub Actions, staging/prod, migrations."
7.2 Reliability & Observability,4,S10,PARTIAL,App Insights/backups ok; confirm SLA alerting + log PII redaction.
,,,,
Components fully missing: Flutter Web (18) + Next.js SEO (18) + Feature Store/Auto-SEO (2) + Two-Person (1) = 39 items,,,,
